,x,y,z,r_dist,r,uni,passes,residence_time,burnup
262,0.0,9.90244,34.8293,36.20964590331698,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
263,5.65854,9.90244,34.8293,36.64911365060826,2,u_fuel_pebble,3,88.0,26.4
264,11.3171,9.90244,34.8293,37.93698998146269,2,u_fuel_pebble,5,168.0,50.4
265,16.9756,9.90244,34.8293,39.991367215983004,2,u_fuel_pebble,4,128.0,38.4
266,22.6341,9.90244,34.8293,42.70176740198935,2,u_fuel_pebble,2,48.0,14.399999999999999
267,-19.8049,12.7317,34.8293,42.04058024563886,2,u_fuel_pebble,3,88.0,26.4
268,-14.1463,12.7317,34.8293,39.68997514574682,2,u_fuel_pebble,5,168.0,50.4
269,-8.4878,12.7317,34.8293,38.042332633791005,2,u_fuel_pebble,2,48.0,14.399999999999999
270,-2.82927,12.7317,34.8293,37.19114265672541,2,u_fuel_pebble,5,168.0,50.4
271,2.82927,12.7317,34.8293,37.19114265672541,2,u_fuel_pebble,2,48.0,14.399999999999999
272,8.4878,12.7317,34.8293,38.042332633791005,2,u_fuel_pebble,4,128.0,38.4
273,14.1463,12.7317,34.8293,39.68997514574682,2,u_fuel_pebble,3,88.0,26.4
274,19.8049,12.7317,34.8293,42.04058024563886,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
275,-22.6341,15.561,34.8293,44.35681844203888,2,u_fuel_pebble,2,48.0,14.399999999999999
276,-16.9756,15.561,34.8293,41.753992082793715,2,u_fuel_pebble,2,48.0,14.399999999999999
277,-11.3171,15.561,34.8293,39.79072268632476,2,u_fuel_pebble,4,128.0,38.4
278,-5.65854,15.561,34.8293,38.564801755248276,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
